"","Domain","Phylum","Class","Order","Family","Genus","Species"
"314ecaf12e2f7def035fdac70707168a6bcc1a51731dbfd560711f70e1883ab0ddac776768418d6823e5b241475e0f5b_97c1b649e3ef32b0b3e9f1f4a9e03647723978c3f57d025000061a2723509dd2df56a6e037a0f0caea8054bc13ee39f6","Archaea","Thermoplasmatota","Thermoplasmata","Methanomassiliicoccales","Methanomethylophilaceae","Candidatus_Methanogranum",""
"314ecaf12e2f7def035fdac70707168a6bcc1a51731dbfd560711f70e1883ab0ddac776768418d6823e5b241475e0f5b_2fb89f395f725a0edd9338e074928b22bdd64ad3ba357c8cfcdd1d08655b92a936f0daa5b8de78cb62fedf55633116a3","Archaea","Thermoplasmatota","Thermoplasmata","Methanomassiliicoccales","Methanomethylophilaceae","uncultured",""
"679073e26ce468529f37b1889a5d5e23753402c38284abb091bcc5b46e9e683d0c783092c97afa45a11cff878d1bb5c8_1ffb8bd42657d90fdae038801d32e020fd31cc5c9d0e214cdd511cc32ea55ad2d67a69225df0d075eddc25bd03d4106a","Archaea","Thermoplasmatota","Thermoplasmata","Methanomassiliicoccales","Methanomethylophilaceae","uncultured","methanogenic_archaeon_CH1270"
"2790777273126954c3ff6f2afa240a7939d441d73cb55dfb0e470a7ff1af709bb25474b7185ccfd2d5373e7d4a6c2221_97c1b649e3ef32b0b3e9f1f4a9e03647723978c3f57d025000061a2723509dd2df56a6e037a0f0caea8054bc13ee39f6","Archaea","Thermoplasmatota","Thermoplasmata","Methanomassiliicoccales","Methanomethylophilaceae","uncultured",""
"0aaa707a027a8a333dfddc72a18748b41587a772a03bbbb57b7f52cb6e6d7ebcc0c7cafd5fac73d6fa0a8f9f59a1b315_3d29953960d6868933faf80ee9a73c6e475f7d5d4b966b380c0139586566a24551975ecaaeec61b21e4d94547195cf2f","Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanosphaera",""
"01e20eb8f6296fd867a4fadfc5e208ffcec313c20fc037488bb8789ca5a166715f009b20cd20048222a4d0b6d85842e6_3d29953960d6868933faf80ee9a73c6e475f7d5d4b966b380c0139586566a24551975ecaaeec61b21e4d94547195cf2f","Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanosphaera",""
"15faad52f9d7fdfa393ac338e0be14f5ce63f85e2a817a9ae6e55ea3d3ed15c5bfb4f10b68f7c5590002c1fa9e1ee172_2901c33a76270b1167acdb1c01fdba269e45e3f1a150ffdf84cf9cd4da058b1cb6086ed1821058509f3a1e9a8b48bd05","Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobrevibacter",""
"19de2b90fddd0320f3be935059d6c9fcf59d0cf2297a65cfedcaa1490f263f966f909fe60e0681379f008d0f3fc84270_2901c33a76270b1167acdb1c01fdba269e45e3f1a150ffdf84cf9cd4da058b1cb6086ed1821058509f3a1e9a8b48bd05","Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobrevibacter","Methanobrevibacter_woesei"
"84aa8288201eca689a74dbf3229e1da6ec7c40298c199055745ca28ad7087131f96544082fec8c5dbfdb2c0e046d951f_c908c466041ef27357265ada08227de034ff8b50ce598c57ddf84abb0e349fa284f8878b7814c3843189827ffe71c70f","Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobrevibacter",""
"d7e9ead4692b2adaa731e59dbf76c1fb49d10fb7f399d3bdf19910ec74826b4063710233cfc48d1244e59841974f35d4_f539fd0777c17c1bcb86dd1e18715f48d7400639a2b37f0717c7aadb878b7ba32fece87055f067bbd856e909adf5285e","Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobrevibacter",""
"d7e9ead4692b2adaa731e59dbf76c1fb49d10fb7f399d3bdf19910ec74826b4063710233cfc48d1244e59841974f35d4_937a5be25f495792863f5be0dcb1885c91cda21473ab3888d8f098e6d42ad96a68698105cb0c0ea31cefed49f1257783","Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobrevibacter",""
"311b892bfe45c458dae7a80e1539f8d1eab6fede378cbc1ad001f10e70b9149e818d6b8c95f459ab8a5de96fb6a02346_c908c466041ef27357265ada08227de034ff8b50ce598c57ddf84abb0e349fa284f8878b7814c3843189827ffe71c70f","Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobrevibacter",""
"3acffe7fd7a8bff30e5214043176a7569d3d01bda41be875377d75c7f16a129c97baea2094eff3071d07399c9eccecde_c908c466041ef27357265ada08227de034ff8b50ce598c57ddf84abb0e349fa284f8878b7814c3843189827ffe71c70f","Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobrevibacter",""
"46bc59c124ec01988e1e6f9cfd4af2c6cab7ebeec61d6f4e356f0142e9ad917addc0883b799be5cdd9eda8aa13f3ecef_c908c466041ef27357265ada08227de034ff8b50ce598c57ddf84abb0e349fa284f8878b7814c3843189827ffe71c70f","Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobrevibacter",""
"b566798b76349dc1bafebf20f3309ba61be56090aa48e4c7d746984fea5320075769631cf71e2777294c907dc0aced89_c908c466041ef27357265ada08227de034ff8b50ce598c57ddf84abb0e349fa284f8878b7814c3843189827ffe71c70f","Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobrevibacter",""
"208099e0b333ff811b9112cb1c4278facc30e4ba4121a9544e5f6c8233b24cc0f61bb00942b787afdf748e85ddd01cf3_c908c466041ef27357265ada08227de034ff8b50ce598c57ddf84abb0e349fa284f8878b7814c3843189827ffe71c70f","Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobrevibacter",""
